zinc_id,smiles
ZINC000029038589,CC(=O)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038591,CC(=O)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038592,CCC(=O)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038594,CCC(=O)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000082156560,N#C/N=C(\NCCCN1CCN(c2ncccn2)CC1)c1ccccn1
ZINC000000597400,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1
ZINC000013782372,C[C@@H](N)Cc1c2ccoc2c(Br)c2ccoc12
ZINC000013782373,C[C@H](N)Cc1c2ccoc2c(Br)c2ccoc12
ZINC000029038642,O=C(Cc1ccccc1)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038644,O=C(Cc1ccccc1)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000028527344,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21
ZINC000028527346,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(Cl)cc21
ZINC000003934176,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c2c1
ZINC000034660438,C[C@H](O)c1ccccc1S(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1
ZINC000049037168,C[C@@H](O)c1ccccc1S(=O)(=O)c1ccc(/C=C/c2ccc(F)cc2)cc1
ZINC000000538550,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
ZINC000026646210,CCN(C)CCc1c(-c2cccc(F)c2)[nH]c2ccccc12
ZINC000029038714,O=C(N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccno1
ZINC000029038716,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccno1
ZINC000013862749,O=C(Nc1ccccc1)c1[nH]c2cc(F)ccc2c1[C@@H]1CNCC[C@H]1F
ZINC000013862751,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CCCNC2)cc1
ZINC000013862752,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@H]2CCCNC2)cc1
ZINC000029038586,N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038588,N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000034658170,CN(C)CCc1sc2ccccc2c1Cc1ccc(F)cc1
ZINC000071316459,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4CCCC5)CC3)nc2N1
ZINC000000000092,COc1cc(C[C@@H](C)N)c(OC)cc1Br
ZINC000000402865,COc1cc(C[C@H](C)N)c(OC)cc1Br
ZINC000000538312,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
ZINC000000598040,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
ZINC000002516053,COc1cc(C[C@@H](C)N)c(OC)cc1I
ZINC000002567726,COc1ccc2[nH]cc(CCNCc3ccc(Br)cc3)c2c1
ZINC000029038623,O=C(N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccc(Cl)cc1
ZINC000029038625,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccc(Cl)cc1
ZINC000013862746,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccsc3)[nH]c2c1
ZINC000028821732,COCc1c2ccoc2c(C[C@@H](C)N)c2ccoc12
ZINC000003812975,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
ZINC000013862750,Fc1ccc(-c2[nH]c3cc(F)ccc3c2[C@@H]2CNCC[C@H]2F)cc1
